StationName,gini,G_T,gamma
Acton Town,0.5160393210018382,0.47691320082720584,0.9241799634596197
Aldgate,0.6084018267121681,0.5746980045734422,0.9446026940437326
Aldgate East,0.5659364763795403,0.5202679547461978,0.9193045093585464
Alperton,0.6099203722879951,0.5559402738183521,0.9114964822913729
Amersham,0.7642415846032874,0.5443031304041526,0.7122134431963639
Angel,0.5205331569250449,0.4842460254343512,0.9302885301196694
Archway,0.5163280938980027,0.4936997734916604,0.9561745319037155
Arnos Grove,0.4480428020197672,0.41725722785473884,0.9312887652111637
Arsenal,0.6915451391171867,0.5917083864810895,0.8556323412763093
Baker Street,0.4914109431144951,0.4664210944666295,0.9491467396116916
Balham LU,0.5405855669430231,0.5110342480956407,0.9453346136958609
Bank and Monument,0.5904195314852559,0.5763032225506378,0.9760910535952169
Barbican,0.6329803570509975,0.5732663765055316,0.905662190176535
Barking,0.4777338240216891,0.4520084978029454,0.9461513400868685
Barkingside,0.65719709705927,0.5044707548657583,0.7676095301137067
Barons Court,0.5644915491847241,0.4993926755475978,0.8846769739402718
Bayswater,0.4347672133369477,0.40356804011927344,0.9282393606035452
Becontree,0.4776458415576269,0.44042015961399117,0.9220642603686428
Belsize Park,0.5930676946292381,0.5689523053039115,0.9593378807449584
Bermondsey,0.496972636495347,0.47822727290478034,0.9622808939285691
Bethnal Green LU,0.4109307720871976,0.39720805623814853,0.9666057721125417
Blackfriars LU,0.6771191368930586,0.6427374155246469,0.9492235273010136
Blackhorse Road,0.5130117439076755,0.4955762067537049,0.9660133761828494
Bond Street,0.45724464745838206,0.43859534550036827,0.9592137336944743
Borough,0.7038047603697656,0.6367406452298672,0.9047120466979164
Boston Manor,0.6214236821829751,0.5231686468504992,0.8418872048980826
Bounds Green,0.46554334552515636,0.44303213285896825,0.9516452917165118
Bow Road,0.6631230639175517,0.5827282023659696,0.8787632855406491
Brent Cross,0.6102454835747707,0.48140275519977793,0.7888673790418864
Brixton LU,0.430098127405662,0.4156705430494013,0.9664551332894951
Bromley-by-Bow,0.6087480425181048,0.5615355606547734,0.9224433122313864
Buckhurst Hill,0.6357942754792123,0.5718117311616051,0.8993659635117316
Burnt Oak,0.5417817337647158,0.4987430724910358,0.9205608853317842
Caledonian Road,0.5198375415932668,0.48950813443404384,0.9416559891648738
Camden Town,0.47066932927511923,0.45359758864188066,0.9637288015781039
Canada Water,0.4197652670402294,0.40158334880263696,0.9566855105335575
Canary Wharf LU,0.4979326658307643,0.482003462431991,0.9680093223604911
Canning Town,0.4014244956443451,0.3796924793629457,0.9458627549708536
Cannon Street LU,0.7191320548977543,0.6885955234166817,0.9575369624075313
Canons Park,0.5844262038062581,0.5190054974788474,0.8880599365645518
Chalfont & Latimer,0.8191384242727976,0.5160859487564994,0.6300350874330702
Chalk Farm,0.5708810905177827,0.5138565481968947,0.9001113484610826
Chancery Lane,0.6238885200244384,0.5744684433455172,0.9207870074657162
Charing Cross LU,0.48113434524444015,0.4021630952569949,0.8358644508171124
Chesham,0.8205207031863968,0.5310943398236974,0.647265008379745
Chigwell,0.8762724303695276,0.6329052144875418,0.7222699157848012
Chiswick Park,0.6590040109015178,0.6218168348921194,0.943570637819751
Chorleywood,0.8053001405340294,0.46150572174262183,0.5730853609892299
Clapham Common,0.5214172889204022,0.49676806589043,0.9527264945874568
Clapham North,0.5946772130142497,0.5540417555482873,0.9316680434752278
Clapham South,0.6078789922635363,0.5814106530709401,0.9564578813720195
Cockfosters,0.43583546185810673,0.31072395257519714,0.7129386655470416
Colindale,0.4970835447068817,0.47797559048382876,0.9615598737344636
Colliers Wood,0.5146480421540498,0.48528004178447626,0.942935758102461
Covent Garden,0.4725288371076117,0.44336729014752385,0.9382862067454166
Croxley,0.8148324384767077,0.5618551031136148,0.6895345307606768
Dagenham East,0.5339896236976761,0.48392607941810806,0.9062462226645961
Dagenham Heathway,0.446574439394696,0.40631556063468194,0.9098495677124233
Debden,0.6051180163328066,0.5509134385461502,0.9104231301603741
Dollis Hill,0.520135312515944,0.4890895007568039,0.9403120476305126
Ealing Broadway,0.4818915825397208,0.46606335774632596,0.9671539712107543
Ealing Common,0.6331513536678528,0.5972091036653447,0.9432327676561154
Earl's Court,0.4682944381814654,0.44207006058046777,0.944000236896182
East Acton,0.5677439259849367,0.5458859579126163,0.9615003048524021
East Finchley,0.5971183078897074,0.5598016501371121,0.9375054201830167
East Ham,0.4941832683359722,0.44249824486105116,0.8954132468932906
East Putney,0.6396157834398056,0.5858652881847244,0.9159644013691859
Eastcote,0.5415705770751891,0.49339802392824283,0.9110502763885229
Edgware,0.4708195452533836,0.43979956519262525,0.9341149271021361
Edgware Road,0.546473198710638,0.5159801189252916,0.9442002281954677
Elephant & Castle LU,0.4440147236932722,0.4248754077621066,0.9568948620172624
Elm Park,0.6072613907347159,0.542725701050643,0.8937266708064674
Embankment,0.4804232724968167,0.43023330278027744,0.8955296868619705
Epping,0.5732029042089135,0.5211199138606745,0.9091369042867645
Euston LU,0.4315546564431017,0.4072917191432258,0.9437778345393086
Euston Square,0.5465184215675029,0.5276854244393018,0.9655400506460788
Fairlop,0.5708433581798209,0.4221947831455471,0.7395983102820859
Farringdon,0.6672619882564974,0.6211002923409579,0.9308192333326878
Finchley Central,0.5830456315414493,0.5467966625990909,0.9378282470850116
Finchley Road,0.5587132645151032,0.5303670085748162,0.9492651101367924
Finsbury Park,0.44674946030813517,0.432644310607108,0.9684271589465414
Fulham Broadway,0.5695043324662491,0.5127526938411485,0.9003490660389948
Gants Hill,0.4774060026986616,0.44902811713650126,0.9405581718668241
Gloucester Road,0.4452194846507359,0.4227388301361204,0.9495065798114136
Golders Green,0.5120864402098869,0.4830211267605632,0.9432413921418993
Goldhawk Road,0.5981862650801062,0.5154650807532334,0.861713333862998
Goodge Street,0.6969658851774952,0.6338427179577595,0.9094314821396742
Grange Hill,0.8513941639647984,0.6250486336266791,0.73414719066893
Great Portland Street,0.644691075139579,0.6032887476893016,0.9357795864611379
Green Park,0.46775484857288785,0.4520041568064602,0.966327036877367
Greenford,0.5394426535235944,0.5052053889194029,0.936532151507567
Gunnersbury,0.7017390086424294,0.6643526813738191,0.9467233162070651
Hainault,0.5743396014239379,0.5319748928306612,0.9262375283051291
Hammersmith,0.5121673703988833,0.4910189128562519,0.9587079170503177
Hampstead,0.6110630051841511,0.5533830398540063,0.9056071716978475
Hanger Lane,0.5798175088932372,0.5455908923246203,0.9409700189393226
Harlesden,0.5948393620302502,0.549076085251286,0.9230661592017562
Harrow & Wealdstone,0.5745168451960755,0.5367911407526703,0.9343349028686359
Harrow-on-the-Hill,0.5063449277156571,0.48910732938172286,0.9659568065356149
Hatton Cross,0.43510777780978066,0.39841986823469294,0.9156808693244577
Heathrow Terminal 5 LU,0.43734099700486256,0.32562339621163156,0.7445526452851872
Heathrow Terminals 123 LU,0.39786701546882924,0.3234487211475443,0.8129568639069171
Hendon Central,0.49389674083397656,0.4632573671304865,0.9379640091332583
High Barnet,0.6155278405879028,0.5243467977920394,0.8518652824723987
High Street Kensington,0.5111625219814673,0.4858979300975898,0.9505742483115899
Highbury & Islington,0.4744943751261777,0.4536818347365503,0.9561374349609668
Highgate,0.6090619263488645,0.5737720425685054,0.9420586277787698
Hillingdon,0.5361199912019308,0.3942553428685925,0.7353863861422308
Holborn,0.519697254987147,0.4907912122715321,0.9443790737044978
Holland Park,0.6129045626809924,0.5634238859595195,0.9192685456524708
Holloway Road,0.5484693480606013,0.5031186677643994,0.9173141024989585
Hornchurch,0.6039240833214852,0.5267295533613233,0.8721784209438969
Hounslow Central,0.5017911931430921,0.4479010471171251,0.8926044403282313
Hounslow East,0.4775061238845501,0.4301746435385626,0.9008777521826481
Hounslow West,0.3650157639781604,0.2918321201301104,0.7995055253218359
Hyde Park Corner,0.5136182782208882,0.4587650149241006,0.893202275653443
Ickenham,0.6098599787957446,0.4017048708855824,0.6586837714434154
Kennington,0.579911896950677,0.5078920939455625,0.8758090610249369
Kensal Green,0.643186550652831,0.5855504603750432,0.9103897769328548
Kensington (Olympia),0.6863308710414389,0.649915892009555,0.9469425308282757
Kentish Town,0.5899700472303415,0.5266354051091463,0.8926476989492527
Kenton,0.6333814155076837,0.5624423042058951,0.8879993798919287
Kew Gardens,0.5050082705551895,0.39685301289698227,0.7858346804116596
Kilburn,0.5032952969532399,0.47653199478326025,0.9468238580173615
Kilburn Park,0.5427759631449711,0.4684113298479305,0.8629920292229698
King's Cross St. Pancras,0.4352825702720128,0.42325677054161787,0.9723724298841558
Kingsbury,0.5400139515401206,0.44551808822914635,0.8250121815529545
Knightsbridge,0.5180753002465315,0.48093799865222064,0.9283167879714809
Ladbroke Grove,0.5190881264905264,0.48061002178649254,0.9258736566290231
Lambeth North,0.45339072860849594,0.39915815844674873,0.8803844747152358
Lancaster Gate,0.5269194377344295,0.5018161696693201,0.9523584323003061
Latimer Road,0.5983867395227631,0.5509927830861889,0.9207971144641796
Leicester Square,0.4588273245788825,0.4359804185291933,0.9502058730467755
Leyton,0.46389579637655204,0.4299955401873122,0.9269226915742034
Leytonstone,0.4585487513254552,0.43914738936333575,0.957689641709766
Liverpool Street LU,0.4691289152438361,0.45264721550754794,0.9648674400559565
London Bridge LU,0.42355235754244064,0.403091982902671,0.951693399232893
Loughton,0.5743326974316928,0.5285506622911827,0.9202865597845314
Maida Vale,0.6264820786232822,0.5388222715166584,0.860076113750517
Manor House,0.46141293639383224,0.44554432135744293,0.9656086472988592
Mansion House,0.7117788581742223,0.6669500584489653,0.9370186410983785
Marble Arch,0.49372448834264954,0.47401979937393995,0.9600897070452087
Marylebone LU,0.4883528822796625,0.44249966271304686,0.9061063807946216
Mile End,0.4276353788997351,0.3992032038100238,0.9335130429038295
Mill Hill East,0.8159443049870777,0.6086889496181069,0.7459932570124953
Moor Park,0.8141514109593285,0.4936204813679026,0.6063005906803762
Moorgate,0.660357196915322,0.6331039257677272,0.9587295008293981
Morden,0.473504247858798,0.45603572988405067,0.9631080015570281
Mornington Crescent,0.6791419349456811,0.5433254833514076,0.80001757422749
Neasden,0.6313043248614336,0.5958207201169934,0.9437931860323805
Newbury Park,0.5270356832292693,0.49085954836722967,0.9313592304787028
North Acton,0.47855234036477085,0.45736565487926106,0.9557275480684924
North Ealing,0.8154507756105054,0.4808332457622322,0.5896533060530179
North Greenwich,0.3676998367554673,0.35573252121357307,0.9674535739599665
North Harrow,0.7280343486118627,0.567536273318562,0.7795460123559815
North Wembley,0.6072776038641317,0.5072031437003193,0.8352080506064531
Northfields,0.5506540022780398,0.49040939670694533,0.8905944471085939
Northolt,0.47784366843001846,0.45426667534502063,0.9506596097370896
Northwick Park,0.5734855433024498,0.512305252875324,0.8933185131837578
Northwood,0.6872729356881965,0.5369782883184868,0.78131737834371
Northwood Hills,0.6402572628126686,0.5224041959713073,0.8159285748300154
Notting Hill Gate,0.4985914344555033,0.48156964630994126,0.965860247550881
Oakwood,0.43884416098513573,0.3454946794968956,0.787283300571471
Old Street,0.5333353469055958,0.5038821877402946,0.9447755350621555
Osterley,0.5776192213618736,0.5112647126390184,0.88512413321979
Oval,0.5296899413575887,0.49653015790208,0.9373977475001307
Oxford Circus,0.4226362826769251,0.40334307915613044,0.9543503378399177
Paddington TfL,0.46939724211454764,0.45203826463570207,0.96301857803713
Park Royal,0.6258740767596851,0.571560306977998,0.9132193330919155
Parsons Green,0.6771880888454967,0.6122929948742982,0.9041697645895768
Perivale,0.5620385978647876,0.5214876715320108,0.9278502820147375
Piccadilly Circus,0.45440781960772686,0.41501878895018157,0.9133178854810458
Pimlico,0.5573120061728568,0.5275607381078978,0.9466164953644812
Pinner,0.6862897584903209,0.5486180263084112,0.7993970761202152
Plaistow,0.5385663166389372,0.5048267222867321,0.9373529437140337
Preston Road,0.5068598348650661,0.47011321400190287,0.9275014149169153
Putney Bridge,0.5992422628839571,0.5511406247626979,0.9197292295610764
Queen's Park,0.5709672853476913,0.5210386933954987,0.9125543735456078
Queensbury,0.644436187377694,0.5555652214109457,0.8620950100142926
Queensway,0.42791014295439084,0.40648456855142673,0.9499297346516795
Ravenscourt Park,0.6843821675467405,0.5586334451562223,0.8162594989269206
Rayners Lane,0.5420952127134302,0.5113786247898565,0.943337282449289
Redbridge,0.4803023496799238,0.41013365875725244,0.8539072503612939
Regent's Park,0.613764646654097,0.5525694486554481,0.9002953357899465
Richmond,0.5287358237857307,0.5064177187433436,0.9577896861941562
Rickmansworth,0.7771566422035159,0.5534834311581764,0.7121903115810138
Roding Valley,0.9331020343794354,0.5184145508069181,0.5555818460429063
Royal Oak,0.6481673765124988,0.6009803227682184,0.927199276831591
Ruislip,0.5073204048663338,0.4729959704105019,0.9323417033366211
Ruislip Gardens,0.6650267764156079,0.4903863945146674,0.7373934582871605
Ruislip Manor,0.5771610866214768,0.4496259410031433,0.779030242033667
Russell Square,0.5213139683934401,0.4925687432507689,0.9448600519351958
Seven Sisters,0.3921929913479464,0.37302650387303454,0.9511299592350244
Shepherd's Bush LU,0.4469989955884213,0.4320232714098692,0.9664971860645047
Shepherd's Bush Market,0.5266008457298197,0.48279067243071827,0.9168057293216372
Sloane Square,0.5366299884190526,0.5145591000909135,0.958871310205452
Snaresbrook,0.58060144940418,0.5098937538146117,0.878216467316557
South Ealing,0.564353029131086,0.5133217612653046,0.9095756286727965
South Harrow,0.6292100027798309,0.5852574161919388,0.9301463956489712
South Kensington,0.4938249541251488,0.47254143800151,0.9569006872863598
South Kenton,0.6750199611376081,0.4310715421303657,0.6386056219787675
South Ruislip,0.5855124022755628,0.5299831736547508,0.9051613110072466
South Wimbledon,0.6136861566081172,0.5640225479545296,0.9190732785499324
South Woodford,0.48801886608509226,0.46589291186944515,0.9546616826657903
Southfields,0.5164211364052231,0.4714597074495675,0.9129365051387527
Southgate,0.4500341211191728,0.41271145693578754,0.9170670346271325
Southwark,0.5435247207303764,0.5143657910126909,0.946352155466816
St. James's Park,0.6515057643892768,0.616841402353327,0.9467934684070766
St. John's Wood,0.5411688242061605,0.5122715643355163,0.9466021349011863
St. Paul's,0.5432955945839417,0.5167220864208882,0.9510883054676642
Stamford Brook,0.6668206166645055,0.5534120041097665,0.829926355423714
Stanmore,0.5137698839811411,0.44908550887739357,0.8740985466051142
Stepney Green,0.521700147558055,0.4423886982055816,0.8479750298639744
Stockwell,0.5718222560456583,0.529880310055953,0.9266521273940126
Stonebridge Park,0.6339377866537839,0.5723761261488891,0.9028900598750461
Stratford,0.4010616600986555,0.3943908817100511,0.9833671999787676
Sudbury Hill,0.700842915650982,0.6271473009463309,0.8948471717999767
Sudbury Town,0.6715762711541866,0.6091389511063071,0.9070286984074448
Swiss Cottage,0.5526225993721706,0.5197221236316392,0.9404648384305865
Temple,0.6576731443140366,0.5722541235631741,0.8701193419719824
Theydon Bois,0.6894676976698079,0.51628212753968,0.7488126409468598
Tooting Bec,0.6043017940205245,0.5645503086415176,0.9342191504768943
Tooting Broadway,0.4691206060100146,0.4498125157042428,0.9588419479800901
Tottenham Court Road,0.44280504582658103,0.4064839229766293,0.9179749120018463
Tottenham Hale LU,0.43454118270607406,0.4186254293188982,0.9633734292154735
Totteridge & Whetstone,0.644734201641684,0.5512844017550252,0.8550568596350124
Tower Hill,0.46466745810046506,0.4394094690859119,0.9456428708870502
Tufnell Park,0.6478505023409966,0.5736854442390282,0.8855213388984431
Turnham Green,0.5624877095101918,0.4948742062603374,0.8797955900072351
Turnpike Lane,0.44295896648188776,0.4204478622863411,0.949180159114203
Upminster,0.5416352986917325,0.45823962372625526,0.846029837481214
Upminster Bridge,0.8282064755177326,0.5550429841335192,0.6701746491254464
Upney,0.48255891570937254,0.3622884363947676,0.7507651907377888
Upton Park,0.4552122543650846,0.42102700420608286,0.9249026144810574
Uxbridge,0.5063455684292738,0.48189000612759686,0.9517018340309759
Vauxhall LU,0.4765156080707339,0.4417270351604263,0.9269938438089028
Victoria LU,0.4363950448091726,0.42054857732969064,0.9636877923615944
Walthamstow Central,0.5363459707928424,0.5148558019066806,0.9599322637692338
Wanstead,0.5422790688271971,0.46134215873987683,0.850746756163086
Warren Street,0.579354576144464,0.5616027848248453,0.9693593663525457
Warwick Avenue,0.5562063097903523,0.5064001628332996,0.9104538260707148
Waterloo LU,0.43840943973871077,0.4205714087317085,0.9593119367647887
Watford,0.707583314199689,0.5369261977858625,0.7588169294143856
Wembley Central,0.5009869654654966,0.4652217771516456,0.9286105412331048
Wembley Park,0.4444377301748288,0.4115889227014879,0.9260890666046306
West Acton,0.5743580463273391,0.44786174184699795,0.7797605425932378
West Brompton,0.5397597336807063,0.4768654695920921,0.8834772952407391
West Finchley,0.6961194710442318,0.5389876880984952,0.7742746906504037
West Ham,0.5679088512755168,0.5259644585436029,0.9261423859872806
West Hampstead LU,0.5502853249279658,0.5192303501459364,0.9435656860627811
West Harrow,0.6135808109651628,0.4849628783552258,0.7903814292894509
West Kensington,0.5992308720660722,0.5327132854263279,0.8889950606009333
West Ruislip,0.6020627483349924,0.4885193367483187,0.8114093391416782
Westbourne Park,0.5368141889121033,0.511811688093115,0.9534242921751791
Westminster,0.5138779987481332,0.4876910710243108,0.9490405742459945
White City,0.5202586671158621,0.500038235680813,0.9611338883652927
Whitechapel,0.49579571124714306,0.475728975806753,0.9595262020522254
Willesden Green,0.5019155955537331,0.4773483364862488,0.9510530071487802
Willesden Junction,0.6010061985014065,0.5711157302531678,0.9502659567858538
Wimbledon,0.5195081529476877,0.5001162075705952,0.9626724907644612
Wimbledon Park,0.5066232369909196,0.42919366484934424,0.8471653755925862
Wood Green,0.4241050804977828,0.39144019326705476,0.9229792597806458
Wood Lane,0.5468871086771604,0.5295021713480266,0.9682111041688559
Woodford,0.4741213221082494,0.45691406058751216,0.9637070498238243
Woodside Park,0.6517128382453458,0.5390595472638814,0.8271427469730854
