StationName,Cluster,Cluster_Name
Acton Town,4,Outer Suburb
Aldgate,1,Commercial Core
Aldgate East,1,Commercial Core
Alperton,4,Outer Suburb
Amersham,4,Outer Suburb
Angel,3,Inner Suburb
Archway,3,Inner Suburb
Arnos Grove,4,Outer Suburb
Arsenal,3,Inner Suburb
Baker Street,2,Touristic and Transport Hub
Balham LU,3,Inner Suburb
Bank and Monument,1,Commercial Core
Barbican,1,Commercial Core
Barking,4,Outer Suburb
Barkingside,4,Outer Suburb
Barons Court,3,Inner Suburb
Bayswater,2,Touristic and Transport Hub
Becontree,4,Outer Suburb
Belsize Park,3,Inner Suburb
Bermondsey,3,Inner Suburb
Bethnal Green LU,2,Touristic and Transport Hub
Blackfriars LU,1,Commercial Core
Blackhorse Road,4,Outer Suburb
Bond Street,2,Touristic and Transport Hub
Borough,3,Inner Suburb
Boston Manor,4,Outer Suburb
Bounds Green,4,Outer Suburb
Bow Road,3,Inner Suburb
Brent Cross,4,Outer Suburb
Brixton LU,3,Inner Suburb
Bromley-by-Bow,3,Inner Suburb
Buckhurst Hill,4,Outer Suburb
Burnt Oak,4,Outer Suburb
Caledonian Road,3,Inner Suburb
Camden Town,3,Inner Suburb
Canada Water,3,Inner Suburb
Canary Wharf LU,3,Inner Suburb
Canning Town,3,Inner Suburb
Cannon Street LU,1,Commercial Core
Canons Park,4,Outer Suburb
Chalfont & Latimer,4,Outer Suburb
Chalk Farm,3,Inner Suburb
Chancery Lane,1,Commercial Core
Charing Cross LU,1,Commercial Core
Chesham,4,Outer Suburb
Chigwell,4,Outer Suburb
Chiswick Park,4,Outer Suburb
Chorleywood,4,Outer Suburb
Clapham Common,3,Inner Suburb
Clapham North,3,Inner Suburb
Clapham South,3,Inner Suburb
Cockfosters,4,Outer Suburb
Colindale,4,Outer Suburb
Colliers Wood,4,Outer Suburb
Covent Garden,1,Commercial Core
Croxley,4,Outer Suburb
Dagenham East,4,Outer Suburb
Dagenham Heathway,4,Outer Suburb
Debden,4,Outer Suburb
Dollis Hill,4,Outer Suburb
Ealing Broadway,4,Outer Suburb
Ealing Common,4,Outer Suburb
Earl's Court,2,Touristic and Transport Hub
East Acton,4,Outer Suburb
East Finchley,4,Outer Suburb
East Ham,3,Inner Suburb
East Putney,3,Inner Suburb
Eastcote,4,Outer Suburb
Edgware,4,Outer Suburb
Edgware Road,2,Touristic and Transport Hub
Elephant & Castle LU,3,Inner Suburb
Elm Park,4,Outer Suburb
Embankment,1,Commercial Core
Epping,4,Outer Suburb
Euston LU,2,Touristic and Transport Hub
Euston Square,3,Inner Suburb
Fairlop,4,Outer Suburb
Farringdon,1,Commercial Core
Finchley Central,4,Outer Suburb
Finchley Road,2,Touristic and Transport Hub
Finsbury Park,3,Inner Suburb
Fulham Broadway,3,Inner Suburb
Gants Hill,4,Outer Suburb
Gloucester Road,2,Touristic and Transport Hub
Golders Green,4,Outer Suburb
Goldhawk Road,3,Inner Suburb
Goodge Street,1,Commercial Core
Grange Hill,4,Outer Suburb
Great Portland Street,2,Touristic and Transport Hub
Green Park,2,Touristic and Transport Hub
Greenford,4,Outer Suburb
Gunnersbury,4,Outer Suburb
Hainault,4,Outer Suburb
Hammersmith,3,Inner Suburb
Hampstead,3,Inner Suburb
Hanger Lane,4,Outer Suburb
Harlesden,4,Outer Suburb
Harrow & Wealdstone,4,Outer Suburb
Harrow-on-the-Hill,4,Outer Suburb
Hatton Cross,4,Outer Suburb
Heathrow Terminal 5 LU,4,Outer Suburb
Heathrow Terminals 123 LU,4,Outer Suburb
Hendon Central,4,Outer Suburb
High Barnet,4,Outer Suburb
High Street Kensington,2,Touristic and Transport Hub
Highbury & Islington,3,Inner Suburb
Highgate,4,Outer Suburb
Hillingdon,4,Outer Suburb
Holborn,1,Commercial Core
Holland Park,2,Touristic and Transport Hub
Holloway Road,3,Inner Suburb
Hornchurch,4,Outer Suburb
Hounslow Central,4,Outer Suburb
Hounslow East,4,Outer Suburb
Hounslow West,4,Outer Suburb
Hyde Park Corner,2,Touristic and Transport Hub
Ickenham,4,Outer Suburb
Kennington,3,Inner Suburb
Kensal Green,3,Inner Suburb
Kensington (Olympia),3,Inner Suburb
Kentish Town,3,Inner Suburb
Kenton,4,Outer Suburb
Kew Gardens,4,Outer Suburb
Kilburn,3,Inner Suburb
Kilburn Park,3,Inner Suburb
King's Cross St. Pancras,2,Touristic and Transport Hub
Kingsbury,4,Outer Suburb
Knightsbridge,2,Touristic and Transport Hub
Ladbroke Grove,2,Touristic and Transport Hub
Lambeth North,3,Inner Suburb
Lancaster Gate,2,Touristic and Transport Hub
Latimer Road,3,Inner Suburb
Leicester Square,1,Commercial Core
Leyton,3,Inner Suburb
Leytonstone,4,Outer Suburb
Liverpool Street LU,1,Commercial Core
London Bridge LU,1,Commercial Core
Loughton,4,Outer Suburb
Maida Vale,2,Touristic and Transport Hub
Manor House,3,Inner Suburb
Mansion House,1,Commercial Core
Marble Arch,2,Touristic and Transport Hub
Marylebone LU,2,Touristic and Transport Hub
Mile End,2,Touristic and Transport Hub
Mill Hill East,4,Outer Suburb
Moor Park,4,Outer Suburb
Moorgate,1,Commercial Core
Morden,4,Outer Suburb
Mornington Crescent,3,Inner Suburb
Neasden,4,Outer Suburb
Newbury Park,4,Outer Suburb
North Acton,4,Outer Suburb
North Ealing,4,Outer Suburb
North Greenwich,4,Outer Suburb
North Harrow,4,Outer Suburb
North Wembley,4,Outer Suburb
Northfields,4,Outer Suburb
Northolt,4,Outer Suburb
Northwick Park,4,Outer Suburb
Northwood,4,Outer Suburb
Northwood Hills,4,Outer Suburb
Notting Hill Gate,2,Touristic and Transport Hub
Oakwood,4,Outer Suburb
Old Street,3,Inner Suburb
Osterley,4,Outer Suburb
Oval,3,Inner Suburb
Oxford Circus,1,Commercial Core
Paddington TfL,2,Touristic and Transport Hub
Park Royal,4,Outer Suburb
Parsons Green,3,Inner Suburb
Perivale,4,Outer Suburb
Piccadilly Circus,1,Commercial Core
Pimlico,2,Touristic and Transport Hub
Pinner,4,Outer Suburb
Plaistow,3,Inner Suburb
Preston Road,4,Outer Suburb
Putney Bridge,3,Inner Suburb
Queen's Park,3,Inner Suburb
Queensbury,4,Outer Suburb
Queensway,2,Touristic and Transport Hub
Ravenscourt Park,3,Inner Suburb
Rayners Lane,4,Outer Suburb
Redbridge,4,Outer Suburb
Regent's Park,1,Commercial Core
Richmond,4,Outer Suburb
Rickmansworth,4,Outer Suburb
Roding Valley,4,Outer Suburb
Royal Oak,2,Touristic and Transport Hub
Ruislip,4,Outer Suburb
Ruislip Gardens,4,Outer Suburb
Ruislip Manor,4,Outer Suburb
Russell Square,3,Inner Suburb
Seven Sisters,3,Inner Suburb
Shepherd's Bush LU,3,Inner Suburb
Shepherd's Bush Market,3,Inner Suburb
Sloane Square,2,Touristic and Transport Hub
Snaresbrook,4,Outer Suburb
South Ealing,4,Outer Suburb
South Harrow,4,Outer Suburb
South Kensington,2,Touristic and Transport Hub
South Kenton,4,Outer Suburb
South Ruislip,4,Outer Suburb
South Wimbledon,4,Outer Suburb
South Woodford,4,Outer Suburb
Southfields,3,Inner Suburb
Southgate,4,Outer Suburb
Southwark,3,Inner Suburb
St. James's Park,1,Commercial Core
St. John's Wood,3,Inner Suburb
St. Paul's,1,Commercial Core
Stamford Brook,4,Outer Suburb
Stanmore,4,Outer Suburb
Stepney Green,3,Inner Suburb
Stockwell,3,Inner Suburb
Stonebridge Park,4,Outer Suburb
Stratford,2,Touristic and Transport Hub
Sudbury Hill,4,Outer Suburb
Sudbury Town,4,Outer Suburb
Swiss Cottage,3,Inner Suburb
Temple,1,Commercial Core
Theydon Bois,4,Outer Suburb
Tooting Bec,3,Inner Suburb
Tooting Broadway,3,Inner Suburb
Tottenham Court Road,1,Commercial Core
Tottenham Hale LU,4,Outer Suburb
Totteridge & Whetstone,4,Outer Suburb
Tower Hill,1,Commercial Core
Tufnell Park,3,Inner Suburb
Turnham Green,4,Outer Suburb
Turnpike Lane,3,Inner Suburb
Upminster,4,Outer Suburb
Upminster Bridge,4,Outer Suburb
Upney,4,Outer Suburb
Upton Park,3,Inner Suburb
Uxbridge,4,Outer Suburb
Vauxhall LU,3,Inner Suburb
Victoria LU,2,Touristic and Transport Hub
Walthamstow Central,3,Inner Suburb
Wanstead,4,Outer Suburb
Warren Street,2,Touristic and Transport Hub
Warwick Avenue,2,Touristic and Transport Hub
Waterloo LU,2,Touristic and Transport Hub
Watford,4,Outer Suburb
Wembley Central,4,Outer Suburb
Wembley Park,4,Outer Suburb
West Acton,4,Outer Suburb
West Brompton,3,Inner Suburb
West Finchley,4,Outer Suburb
West Ham,4,Outer Suburb
West Hampstead LU,3,Inner Suburb
West Harrow,4,Outer Suburb
West Kensington,3,Inner Suburb
West Ruislip,4,Outer Suburb
Westbourne Park,2,Touristic and Transport Hub
Westminster,2,Touristic and Transport Hub
White City,3,Inner Suburb
Whitechapel,3,Inner Suburb
Willesden Green,3,Inner Suburb
Willesden Junction,4,Outer Suburb
Wimbledon,4,Outer Suburb
Wimbledon Park,4,Outer Suburb
Wood Green,3,Inner Suburb
Wood Lane,3,Inner Suburb
Woodford,4,Outer Suburb
Woodside Park,4,Outer Suburb
